,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,group
AKR1C1,2.26540246249598e-24,0.607494748996963,0.177,0.071,8.29341187495154e-20,AKR1C1,up
RBM47,5.93870768715484e-24,-0.54189659433254,0.758,0.727,2.17410149719052e-19,RBM47,down
SLPI,6.24922512030938e-24,-1.52751870755184,0.802,0.744,2.28777882429406e-19,SLPI,down
SERPINB1,7.21801868761987e-24,-0.635713704738016,0.742,0.721,2.64244446135076e-19,SERPINB1,down
NIBAN2,8.90329166460505e-24,-0.812353330433027,0.689,0.671,3.25940604549526e-19,NIBAN2,down
A2ML1,9.33443538066343e-24,-0.811654273475049,0.262,0.362,3.41724344850708e-19,A2ML1,down
STEAP4,9.92709055763552e-24,-0.621164342501104,0.142,0.246,3.63420858224479e-19,STEAP4,down
AL355312.4,1.54004245916397e-23,-0.433789866151859,0.088,0.183,5.63794143875338e-19,AL355312.4,down
CPEB4,1.60531831833896e-23,-0.478908858112758,0.367,0.452,5.87690983160708e-19,CPEB4,down
RPL29,1.80195805474413e-23,0.253211448583901,0.964,0.877,6.59678824261279e-19,RPL29,up
NDUFA4L2,2.11036789636542e-23,0.374784757936249,0.465,0.296,7.72584583180418e-19,NDUFA4L2,up
LMO7,4.63751305593335e-23,-1.01893254491492,0.629,0.616,1.69774715464664e-18,LMO7,down
TCN1,5.00229507366581e-23,-0.476504415681148,0.093,0.192,1.83129020351832e-18,TCN1,down
CA9,9.15998894404413e-23,0.266393039001164,0.179,0.073,3.35338035252512e-18,CA9,up
KRT17,9.88298560231751e-23,0.280462036354225,0.886,0.745,3.61806219915242e-18,KRT17,up
ATP10B,1.06400981607381e-22,-0.478726613728848,0.175,0.281,3.8952335356646e-18,ATP10B,down
SAMD9,1.98030183348509e-22,-0.64408388561806,0.491,0.545,7.24968698220558e-18,SAMD9,down
F3,2.20149517390644e-22,-0.597338432352271,0.418,0.503,8.05945368215409e-18,F3,down
SLC26A9,2.80738920238034e-22,-0.357904053162879,0.047,0.126,1.02775711309942e-17,SLC26A9,down
HIST1H2AC,7.00339773728765e-21,-0.558057273773078,0.542,0.586,2.56387387764364e-16,HIST1H2AC,down
EDN2,1.12771772480042e-20,0.407992492271231,0.271,0.146,4.12846181872187e-16,EDN2,up
QSOX1,1.67027956018052e-20,-0.649924085309307,0.427,0.48,6.11472644186487e-16,QSOX1,down
HOPX,4.05815237901304e-20,-1.09244409619295,0.198,0.285,1.48564900443288e-15,HOPX,down
ZMAT3,4.09965873220931e-20,-0.412993670215092,0.25,0.34,1.50084406527451e-15,ZMAT3,down
TMPRSS4,4.84853401258487e-20,-0.624522661182225,0.743,0.678,1.77499981666719e-15,TMPRSS4,down
HIST1H1D,5.67342472583062e-20,0.257877970158809,0.337,0.199,2.07698405787933e-15,HIST1H1D,up
FBXO32,7.10428972634392e-20,-0.712190337326829,0.585,0.593,2.60080942591725e-15,FBXO32,down
C4orf3,1.0126037736029e-19,-0.638368317828486,0.733,0.676,3.70704115478284e-15,C4orf3,down
CD68,1.46774130409032e-19,-0.586086251274375,0.429,0.48,5.37325414014425e-15,CD68,down
PTN,3.42675612126093e-19,0.284009779302251,0.306,0.186,1.25450114843241e-14,PTN,up
TMSB10,5.83573844576681e-19,-0.378225806968141,0.995,0.987,2.13640548761077e-14,TMSB10,down
ADGRF1,6.32850811573141e-19,-0.625487925334484,0.238,0.326,2.31680353608811e-14,ADGRF1,down
ST14,6.58875989776027e-19,-0.556672043341774,0.621,0.604,2.41207911097106e-14,ST14,down
LYN,7.5597855780032e-19,-0.582535748353054,0.668,0.635,2.76756190225119e-14,LYN,down
S100A8,9.93720784322159e-19,-0.977678921276556,0.819,0.796,3.63791241932499e-14,S100A8,down
CLIC3,1.01482592639829e-18,-0.746427668968809,0.249,0.343,3.71517623395151e-14,CLIC3,down
INPP5D,1.14198575421179e-18,-0.325582130239334,0.205,0.305,4.18069564759395e-14,INPP5D,down
HK2,1.33107593243026e-18,-0.613640924341905,0.413,0.475,4.87293588103395e-14,HK2,down
PDLIM5,2.08836015758204e-18,-0.470781823335234,0.799,0.755,7.64527770089209e-14,PDLIM5,down
ATP6V1G1,2.36879666624122e-18,-0.538352664538785,0.85,0.763,8.67192771544249e-14,ATP6V1G1,down
PDZK1IP1,3.00089802009734e-18,-1.3216722130704,0.526,0.535,1.09859875617744e-13,PDZK1IP1,down
NPEPPS,3.83419474780223e-18,-0.484982044554449,0.763,0.726,1.40366035522292e-13,NPEPPS,down
HMOX1,4.63355259182006e-18,-0.53045837081537,0.216,0.304,1.69629726833941e-13,HMOX1,down
TGFA,7.1654335712942e-18,-0.495017912159912,0.381,0.445,2.62319357611509e-13,TGFA,down
BCAT1,7.68702201937686e-18,-0.398894609170424,0.072,0.148,2.81414189107368e-13,BCAT1,down
SMIM5,9.56928746616277e-18,-0.256331576424485,0.1,0.184,3.50322044848753e-13,SMIM5,down
HEPHL1,2.15305107684655e-17,-0.447446564743113,0.053,0.123,7.88210468722752e-13,HEPHL1,down
ABCA1,3.6200628918551e-17,-0.503975817814184,0.432,0.49,1.32526882407923e-12,ABCA1,down
RPS27L,3.84624486779359e-17,-0.694614213455843,0.723,0.64,1.40807178365055e-12,RPS27L,down
AKAP13,5.22238474825851e-17,-0.330114660693176,0.928,0.875,1.91186283248996e-12,AKAP13,down
ZNF117,5.48677335111771e-17,-0.318589674812059,0.121,0.204,2.00865285611068e-12,ZNF117,down
TMEM45B,6.27604720753074e-17,-0.358289525222257,0.147,0.231,2.29759812220493e-12,TMEM45B,down
TMBIM1,7.77625668408927e-17,-0.56896644058572,0.61,0.591,2.84680980947824e-12,TMBIM1,down
ARL6IP1,9.58235742988715e-17,0.396036257749051,0.86,0.727,3.50800523150739e-12,ARL6IP1,up
CAST,1.28373875185733e-16,-0.307942394181228,0.95,0.896,4.69963919667449e-12,CAST,down
RNF39,1.52715131337372e-16,-0.623183613344991,0.244,0.322,5.59074824312985e-12,RNF39,down
PPL,1.75182130679651e-16,-0.8336186996463,0.66,0.637,6.41324262205136e-12,PPL,down
BICDL2,3.28289453123382e-16,-0.539503721683925,0.343,0.405,1.20183485893939e-11,BICDL2,down
TMEM159,3.67390419183314e-16,-0.577372124557943,0.486,0.496,1.34497958558819e-11,TMEM159,down
PTPRH,3.72593574399777e-16,-0.375013968611081,0.141,0.221,1.36402781652014e-11,PTPRH,down
ATP1B1,4.03369347548035e-16,-0.601701883932812,0.812,0.726,1.4766948444386e-11,ATP1B1,down
