,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,group
RAD51AP1,4.56438666020756e-42,0.328853886654447,0.421,0.078,1.67097631243538e-37,RAD51AP1,up
PIR,5.63027070391992e-42,0.618587450918714,0.626,0.221,2.06118580199804e-37,PIR,up
TOPBP1,5.92380234719113e-42,0.577783246391511,0.694,0.297,2.1686448012832e-37,TOPBP1,up
DENND2C,1.18978665262317e-41,1.15197465642205,0.791,0.424,4.35568995658815e-37,DENND2C,up
TK1,1.55333162452469e-41,0.644820796841812,0.545,0.15,5.68659174422245e-37,TK1,up
HNRNPA3,1.76668842685916e-41,0.809583672169502,0.962,0.901,6.46766966188871e-37,HNRNPA3,up
CAPNS2,2.15023994361752e-41,0.296838297348917,0.366,0.056,7.87181340958939e-37,CAPNS2,up
ARHGEF4,2.25019467859993e-41,0.668628514641506,0.643,0.224,8.23773769888648e-37,ARHGEF4,up
SMC1A,2.29111038424562e-41,0.848052467156829,0.864,0.584,8.38752600568479e-37,SMC1A,up
CDKN2B-AS1,3.43858883655548e-41,0.480874831127098,0.528,0.143,1.25883298717459e-36,CDKN2B-AS1,up
TFF3,4.42945098481425e-41,-3.50575714733507,0.072,0.578,1.62157771103065e-36,TFF3,down
SELENOM,6.24114951966888e-41,-0.877305286200565,0.128,0.616,2.28482242765558e-36,SELENOM,down
VIM,9.41608614662889e-41,-1.77579441281834,0.221,0.687,3.44713497741937e-36,VIM,down
ATAD5,9.87523503834318e-41,0.43710933387483,0.502,0.128,3.61522479518705e-36,ATAD5,up
PCNA,1.00922662880425e-40,0.941417456673714,0.8,0.5,3.69467776538948e-36,PCNA,up
EDARADD,1.01252612068094e-40,0.426708351618161,0.494,0.12,3.70675687520085e-36,EDARADD,up
ASPM,1.19490747846735e-40,0.718300256526386,0.43,0.085,4.37443678792112e-36,ASPM,up
STXBP6,1.25779521936803e-40,-0.909310770005078,0.179,0.64,4.60466251858441e-36,STXBP6,down
RFC4,1.61462116308126e-40,0.421851486616679,0.536,0.155,5.9109666159242e-36,RFC4,up
SDC1,2.37018305211376e-40,0.914185916795916,0.843,0.556,8.67700313548326e-36,SDC1,up
CFB,2.58755045652693e-40,-2.28921606381068,0.294,0.692,9.47276346629943e-36,CFB,down
HIF1A,4.65216736715463e-40,-0.912289485902446,0.732,0.908,1.70311195144164e-35,HIF1A,down
CHAF1A,5.94373719266826e-40,0.518445975834382,0.566,0.18,2.17594274886392e-35,CHAF1A,up
PODXL2,7.34500363049171e-40,0.336131431327058,0.489,0.123,2.68893237908671e-35,PODXL2,up
AP001347.1,8.06709609633459e-40,0.408019146328583,0.404,0.078,2.95328320990713e-35,AP001347.1,up
SLPI,9.09889324601668e-40,-3.19467584623438,0.949,0.943,3.33101382843424e-35,SLPI,down
DMKN,9.47062281718401e-40,-1.25365601464173,0.404,0.79,3.46710030714289e-35,DMKN,down
PKP1,1.44525436516557e-39,0.364564495207958,0.651,0.195,5.29093170543465e-35,PKP1,up
