,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,group
YBX3,1.39154049403532e-17,0.384864199579146,0.97,0.903,5.09429059461391e-13,YBX3,up
IFITM3,1.39890063796188e-17,-1.17286236715949,0.855,0.878,5.12123534551465e-13,IFITM3,down
PCNA,1.55879993664005e-17,0.528344968580274,0.8,0.56,5.70661068804558e-13,PCNA,up
SLC9A1,1.63097355741922e-17,0.327587564180061,0.566,0.291,5.97083109635602e-13,SLC9A1,up
ZBTB11,1.77076703113914e-17,0.343804732274339,0.677,0.411,6.48260102429728e-13,ZBTB11,up
RHBDL2,1.84566200661417e-17,0.252738613883628,0.545,0.273,6.75678404001381e-13,RHBDL2,up
HDAC1,2.07244145103091e-17,0.400085267656337,0.855,0.671,7.58700090807907e-13,HDAC1,up
PPP1R13L,2.07500693531454e-17,0.408221594781659,0.851,0.623,7.596392889493e-13,PPP1R13L,up
HNRNPF,2.09320534030091e-17,0.442402890436677,0.936,0.844,7.66301543030759e-13,HNRNPF,up
ZFAND5,2.18546834933977e-17,0.50436344461413,0.889,0.752,8.00078108009798e-13,ZFAND5,up
MAP1LC3B,2.28360409666653e-17,0.439699194128628,0.919,0.77,8.3600462374865e-13,MAP1LC3B,up
KNL1,2.2914491600353e-17,0.357615175937784,0.481,0.201,8.38876622997321e-13,KNL1,up
BPIFB1,2.33781024804962e-17,-2.11400828135228,0.009,0.263,8.55848953708485e-13,BPIFB1,down
PRDM1,2.49240205551124e-17,0.315129038476574,0.336,0.11,9.12443468502111e-13,PRDM1,up
CMTM7,2.51914985775174e-17,-0.326861264002919,0.017,0.276,9.22235571424335e-13,CMTM7,down
TMED10,2.52292011930106e-17,-0.538854540772433,0.885,0.878,9.23615826474927e-13,TMED10,down
KCNK1,2.53527700390677e-17,0.402691055909707,0.766,0.513,9.2813955836023e-13,KCNK1,up
ZFP36,2.89909160892031e-17,0.56262007904382,0.979,0.894,1.06132844710963e-12,ZFP36,up
CSNK1E,2.93311172593414e-17,0.390262115341771,0.804,0.561,1.07378287174723e-12,CSNK1E,up
TMPRSS11F,3.11376261327183e-17,0.264508894325692,0.2,0.039,1.13991735509268e-12,TMPRSS11F,up
ITM2C,3.1202886445007e-17,-0.406687302993545,0.174,0.455,1.14230646986526e-12,ITM2C,down
TENM2,3.22278214116419e-17,-0.585110207235536,0.085,0.364,1.1798283140588e-12,TENM2,down
DAPL1,3.22705488069181e-17,0.51313839077062,0.74,0.428,1.18139252127247e-12,DAPL1,up
IKZF2,3.28381955403192e-17,0.410769207701807,0.753,0.453,1.20217350053554e-12,IKZF2,up
PPP4C,3.464708454613e-17,0.414655938700362,0.881,0.724,1.26839511814927e-12,PPP4C,up
