,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,group
DCK,9.89948801266991e-37,0.280055218128087,0.455,0.132,3.62410356655833e-32,DCK,up
MUC1,9.92695598653948e-37,-0.988043459202189,0.704,0.867,3.63415931711224e-32,MUC1,down
CSK,1.00848719862579e-36,0.416626253217488,0.69,0.318,3.69197078544916e-32,CSK,up
RAD23A,1.06694046945879e-36,0.554138632638986,0.911,0.786,3.90596236464168e-32,RAD23A,up
OBSL1,1.37558590536811e-36,-0.448196342430214,0.07,0.544,5.03588244096212e-32,OBSL1,down
AKAP13,1.58589340510889e-36,0.770192285172359,0.939,0.803,5.80579716676313e-32,AKAP13,up
SNRPG,1.62929074409114e-36,0.740708502244132,0.915,0.781,5.96467048504324e-32,SNRPG,up
CHPF,1.70631181971416e-36,-0.762535596552578,0.343,0.671,6.24663694079155e-32,CHPF,down
PAWR,1.85590948079962e-36,0.652994929213391,0.883,0.674,6.79429901825933e-32,PAWR,up
GLRX3,1.96989894736732e-36,0.544653124471534,0.793,0.478,7.21160305641701e-32,GLRX3,up
DACH1,2.3679321552652e-36,-0.658559485026524,0.047,0.514,8.66876282721037e-32,DACH1,down
UBE2S,2.4077537738625e-36,1.0922950970597,0.873,0.642,8.81454579073322e-32,UBE2S,up
SKAP1,2.47343332539172e-36,-0.56695545836631,0.108,0.579,9.05499206092656e-32,SKAP1,down
LCN12,2.50773260789072e-36,-0.512674803487624,0.014,0.487,9.18055830422713e-32,LCN12,down
RGL3,2.64644777863169e-36,-0.524188694004506,0.042,0.504,9.68838067279274e-32,RGL3,down
SH3PXD2A,2.68225800735804e-36,0.547652785546209,0.756,0.358,9.81947833913704e-32,SH3PXD2A,up
CYTOR,2.71081107587557e-36,0.549398039609699,0.718,0.341,9.92400826767288e-32,CYTOR,up
TMSB10,2.90779634793165e-36,0.894180429334115,0.991,0.987,1.0645151650143e-31,TMSB10,up
TMBIM4,3.150175849001e-36,-0.613503891374041,0.751,0.862,1.15324787656078e-31,TMBIM4,down
TAX1BP3,3.23228588115256e-36,0.688600559057913,0.873,0.677,1.18330753823114e-31,TAX1BP3,up
NCAPH2,3.65393338600493e-36,0.28912139571756,0.545,0.192,1.33766847328254e-31,NCAPH2,up
RPL13A,4.08144538895848e-36,-0.593905201430921,0.986,0.981,1.49417634244381e-31,RPL13A,down
EMX2,4.22451277959041e-36,-0.532218652560134,0.028,0.5,1.54655188348025e-31,EMX2,down
BAZ1A,4.74579052833151e-36,0.678000062835285,0.883,0.622,1.73738645451688e-31,BAZ1A,up
TTF2,4.88446375320512e-36,0.323298670315656,0.479,0.156,1.78815333541086e-31,TTF2,up
TOMM40,4.89019876005679e-36,0.837029201152751,0.742,0.474,1.79025286406919e-31,TOMM40,up
GALNT6,5.58212488085389e-36,-0.725917225453633,0.141,0.563,2.0435600976318e-31,GALNT6,down
MAP2K6,5.97165587131831e-36,-0.672062409871007,0.197,0.61,2.18616349793092e-31,MAP2K6,down
TPM3,6.00557318123772e-36,0.600827477838663,0.948,0.903,2.19858028591932e-31,TPM3,up
LMNB2,6.39740776933837e-36,0.485129523408878,0.714,0.363,2.34202701027708e-31,LMNB2,up
